iter	Passed	Remaining
196	426	1738
197	427	1733
198	430	1734
199	432	1729
200	433	1722
201	434	1716
202	435	1709
203	436	1704
204	437	1698
205	438	1691
206	439	1683
207	440	1676
208	441	1671
209	443	1668
210	445	1666
211	446	1661
212	447	1655
213	448	1648
214	449	1642
215	451	1637
216	452	1631
217	452	1624
218	453	1617
219	454	1611
220	455	1604
221	456	1598
222	457	1593
223	459	1592
224	461	1589
225	462	1584
226	463	1578
227	464	1572
228	465	1568
229	466	1562
230	467	1556
231	468	1549
232	468	1543
233	469	1537
234	470	1532
235	471	1527
236	474	1527
237	475	1523
238	476	1517
239	477	1512
240	478	1506
241	479	1502
242	480	1496
243	481	1491
244	482	1486
245	483	1481
246	484	1476
247	484	1470
248	485	1464
249	487	1461
250	489	1462
251	490	1457
252	491	1451
253	492	1445
254	492	1440
255	493	1435
256	495	1431
257	496	1426
258	496	1421
259	497	1416
260	498	1411
261	499	1406
262	499	1401
263	501	1397
264	503	1395
265	504	1393
266	505	1388
267	506	1383
268	507	1378
269	508	1374
270	509	1370
271	510	1365
272	510	1360
273	511	1355
274	512	1350
275	513	1346
276	514	1342
277	515	1338
278	517	1336
279	518	1333
280	519	1329
281	520	1324
282	521	1320
283	522	1316
284	522	1311
285	523	1307
286	524	1303
287	525	1299
288	526	1295
289	527	1290
290	527	1286
291	528	1282
292	530	1278
293	530	1274
294	531	1270
295	532	1266
296	533	1262
297	534	1258
298	535	1254
299	536	1252
300	539	1252
301	540	1248
302	540	1244
303	541	1240
304	542	1236
305	544	1235
306	546	1232
307	548	1231
308	549	1228
309	550	1224
310	551	1220
311	551	1216
312	552	1212
313	553	1209
314	554	1205
315	554	1201
316	555	1197
317	556	1193
318	557	1189
319	558	1185
320	559	1183
321	562	1184
322	563	1182
323	564	1178
324	565	1174
325	566	1171
326	567	1168
327	568	1164
328	569	1161
329	570	1157
330	570	1153
331	571	1149
332	572	1146
333	573	1142
334	574	1140
335	577	1140
336	578	1137
337	579	1134
338	579	1130
339	580	1127
340	581	1124
341	582	1121
342	584	1119
343	587	1119
344	588	1116
345	589	1113
346	589	1110
347	590	1106
348	591	1103
349	592	1100
350	593	1097
351	594	1093
352	594	1090
353	595	1086
354	596	1084
355	597	1081
356	600	1081
357	602	1079
358	602	1076
359	603	1073
360	604	1069
361	605	1067
362	606	1064
363	607	1061
364	608	1057
365	608	1054
366	609	1051
367	610	1047
368	610	1044
369	611	1041
370	612	1039
371	615	1039
372	616	1036
373	617	1033
374	618	1030
375	618	1027
376	619	1023
377	620	1020
378	621	1018
379	622	1015
380	622	1011
381	623	1009
382	624	1005
383	625	1002
384	626	1000
385	629	1001
386	631	999
387	631	996
388	632	993
389	633	990
390	634	987
391	634	984
392	635	981
393	636	978
394	636	975
395	637	972
396	638	969
397	639	966
398	639	963
399	640	960
400	641	958
401	644	958
402	645	956
403	646	953
404	646	950
405	647	947
406	648	944
407	648	941
408	649	938
409	650	935
410	650	932
411	651	930
412	652	927
413	653	924
414	653	921
415	654	919
416	655	916
417	656	914
418	658	912
419	658	909
420	659	907
421	660	904
422	661	901
423	661	899
424	662	896
425	663	893
426	663	890
427	664	887
428	665	885
429	665	882
430	666	879
431	667	877
432	667	874
433	668	871
434	668	868
435	669	865
436	670	863
437	671	861
438	672	858
439	672	856
440	673	853
441	674	851
442	675	848
443	675	846
444	676	843
445	676	840
446	677	838
447	678	835
448	679	833
449	680	831
450	680	828
451	681	825
452	681	823
453	682	820
454	682	818
455	683	815
456	684	812
457	685	810
458	686	808
459	687	806
460	687	804
461	688	801
462	689	799
463	689	796
464	690	794
465	691	792
466	692	789
